ID,Element_Id,Name,Machine_Id,Feature_Name,Stack_Turn_Id,All_Stack_Turn_Id,Weight,Interpose_Random_Length_ID
1,10101,水牛,10001,,,,3|2|3|4|5,
2,10102,老鹰,10001,,,,3|3|5|5|4,
3,10103,老虎,10001,,,,4|3|4|5|5,
4,10104,狼,10001,,,,5|5|3|6|4,
5,10105,鹿,10001,,,,5|5|6|6|5,
6,10106,A,10001,,,,6|6|5|5|5,
7,10107,K,10001,,,,5|4|5|4|5,
8,10108,Q,10001,,,,6|5|8|5|5,
9,10109,J,10001,,,,6|5|8|5|5,
10,10110,10,10001,,,,5|6|5|8|5,
11,10110,9,10001,,,,5|6|5|8|6,
12,19901,Wild,10001,,,,0|3|2|3|3,
13,19801,Scatter,10001,,,,4|4|4|4|4,
14,10101,水牛,10001,FreeSpin,,,3|2|3|4|5,
15,10102,老鹰,10001,FreeSpin,,,3|3|5|5|4,
16,10103,老虎,10001,FreeSpin,,,4|3|4|5|5,
17,10104,狼,10001,FreeSpin,,,5|5|3|6|4,
18,10105,鹿,10001,FreeSpin,,,5|5|6|6|5,
19,10106,A,10001,FreeSpin,,,6|6|5|5|5,
20,10107,K,10001,FreeSpin,,,5|4|5|4|5,
21,10108,Q,10001,FreeSpin,,,6|5|8|5|5,
22,10109,J,10001,FreeSpin,,,6|5|8|5|5,
23,10110,10,10001,FreeSpin,,,5|6|5|8|5,
24,10110,9,10001,FreeSpin,,,5|6|5|8|6,
25,19901,Wild,10001,FreeSpin,,,0|4|4|4|4,
26,19801,Scatter,10001,FreeSpin,,,4|4|4|4|4,
27,20101,凤凰,10002,,,,2|2|2|2|2,
28,20102,龙舟,10002,,,,2|2|2|2|2,
29,20103,金龟,10002,,,,2|2|2|2|2,
30,20104,元宝,10002,,,,2|2|2|2|2,
31,20105,铜钱,10002,,,,2|2|2|2|2,
32,20106,A,10002,,,,2|2|2|2|2,
33,20107,K,10002,,,,2|2|2|2|2,
34,20108,Q,10002,,,,2|2|2|2|2,
35,20109,J,10002,,,,2|2|2|2|2,
36,20110,10,10002,,,,2|2|2|2|2,
37,20111,9,10002,,,,2|2|2|2|2,
38,29901,Wild,10002,,,,0|2|2|2|0,
39,29801,Scatter,10002,,,,0|2|2|2|0,
40,20101,凤凰,10002,FreeSpin,,,2|2|2|2|2,
41,20102,龙舟,10002,FreeSpin,,,2|2|2|2|2,
42,20103,金龟,10002,FreeSpin,,,2|2|2|2|2,
43,20104,元宝,10002,FreeSpin,,,2|2|2|2|2,
44,20105,铜钱,10002,FreeSpin,,,2|2|2|2|2,
45,20106,A,10002,FreeSpin,,,2|2|2|2|2,
46,20107,K,10002,FreeSpin,,,2|2|2|2|2,
47,20108,Q,10002,FreeSpin,,,2|2|2|2|2,
48,20109,J,10002,FreeSpin,,,2|2|2|2|2,
49,20110,10,10002,FreeSpin,,,2|2|2|2|2,
50,20111,9,10002,FreeSpin,,,2|2|2|2|2,
51,29901,Wild,10002,FreeSpin,,,0|2|2|2|0,
52,29801,Scatter,10002,FreeSpin,,,0|2|2|2|0,
53,30101,红7,10003,,,,2|2|2|2|2,
54,30102,绿7,10003,,,,2|2|2|2|2,
55,30103,3BAR,10003,,,,2|2|2|2|2,
56,30104,2BAR,10003,,,,2|2|2|2|2,
57,30105,柠檬,10003,,,,2|2|2|2|2,
58,30106,西瓜,10003,,,,2|2|2|2|2,
59,30107,樱桃,10003,,,,2|2|2|2|2,
60,30108,西梅,10003,,,,2|2|2|2|2,
61,30109,葡萄,10003,,,,2|2|2|2|2,
62,39801,Bonus,10003,,,,0|2|2|2|0,
63,39701,Ball,10003,,,,2|2|2|2|2,
64,30101,红7,10003,FreeSpin,,,2|2|2|2|2,
65,30102,绿7,10003,FreeSpin,,,2|2|2|2|2,
66,30103,3BAR,10003,FreeSpin,,,2|2|2|2|2,
67,30104,2BAR,10003,FreeSpin,,,2|2|2|2|2,
68,30105,柠檬,10003,FreeSpin,,,2|2|2|2|2,
69,30106,西瓜,10003,FreeSpin,,,2|2|2|2|2,
70,30107,樱桃,10003,FreeSpin,,,2|2|2|2|2,
71,30108,西梅,10003,FreeSpin,,,2|2|2|2|2,
72,30109,葡萄,10003,FreeSpin,,,2|2|2|2|2,
73,39801,Bonus,10003,FreeSpin,,,0|2|2|2|0,
74,39701,Ball,10003,FreeSpin,,,2|2|2|2|2,
75,40101,宙斯,10004,,,,2|2|2|2|2,
76,40102,天马,10004,,,,2|2|2|2|2,
77,40103,飞船,10004,,,,2|2|2|2|2,
78,40104,头盔,10004,,,,2|2|2|2|2,
79,40105,竖琴,10004,,,,2|2|2|2|2,
80,40106,陶罐,10004,,,,2|2|2|2|2,
81,40107,金币,10004,,,,2|2|2|2|2,
82,40108,银币,10004,,,,2|2|2|2|2,
83,40109,草环,10004,,,,2|2|2|2|2,
84,49901,Wild,10004,,,,0|2|2|2|2,
85,49801,Scatter,10004,,,,2|0|2|0|2,
86,40101,宙斯,10004,FreeSpin,,,2|2|2|2|2,
87,40102,天马,10004,FreeSpin,,,2|2|2|2|2,
88,40103,飞船,10004,FreeSpin,,,2|2|2|2|2,
89,40104,头盔,10004,FreeSpin,,,2|2|2|2|2,
90,40105,竖琴,10004,FreeSpin,,,2|2|2|2|2,
91,40106,陶罐,10004,FreeSpin,,,2|2|2|2|2,
92,40107,金币,10004,FreeSpin,,,2|2|2|2|2,
93,40108,银币,10004,FreeSpin,,,2|2|2|2|2,
94,40109,草环,10004,FreeSpin,,,2|2|2|2|2,
95,49901,Wild,10004,FreeSpin,,,0|2|2|2|2,
96,49801,Scatter,10004,FreeSpin,,,2|0|2|0|2,
97,50101,牛,10005,,,,2|2|2|2|2,
98,50102,鹰,10005,,,,2|2|2|2|2,
99,50103,马,10005,,,,2|2|2|2|2,
100,50104,豹,10005,,,,2|2|2|2|2,
101,50105,A,10005,,,,2|2|2|2|2,
102,50106,K,10005,,,,2|2|2|2|2,
103,50107,Q,10005,,,,2|2|2|2|2,
104,50108,J,10005,,,,2|2|2|2|2,
105,59901,WILD,10005,,,,0|2|2|2|2,
106,59801,SCATTER ,10005,,,,2|0|2|0|2,
107,59701,BALL,10005,,,,2|2|2|2|2,
108,50101,牛,10005,FreeSpin,,,2|2|2|2|2,
109,50102,鹰,10005,FreeSpin,,,2|2|2|2|2,
110,50103,马,10005,FreeSpin,,,2|2|2|2|2,
111,50104,豹,10005,FreeSpin,,,2|2|2|2|2,
112,50105,A,10005,FreeSpin,,,2|2|2|2|2,
113,50106,K,10005,FreeSpin,,,2|2|2|2|2,
114,50107,Q,10005,FreeSpin,,,2|2|2|2|2,
115,50108,J,10005,FreeSpin,,,2|2|2|2|2,
116,59901,WILD,10005,FreeSpin,,,0|2|2|2|2,
117,59801,SCATTER ,10005,FreeSpin,,,2|0|2|0|2,
118,59701,BALL,10005,FreeSpin,,,2|2|2|2|2,
